trial;counter;index;instructionType;totalChars 
5;303;1455;Identifier;17555 
5;305;1461;Identifier;17553 
5;308;1487;Identifier;17551 
5;309;1486;Identifier;17549 
5;310;1484;Identifier;17547 
5;311;1484;Identifier;17545 
5;312;1485;Identifier;17543 
5;313;1485;Identifier;17541 
5;314;1484;Identifier;17539 
5;315;1482;Identifier;17537 
5;322;1544;Identifier;17535 
5;323;1549;Identifier;17533 
5;324;1549;Identifier;17531 
5;325;1547;Identifier;17529 
5;328;1566;Identifier;17527 
5;344;1715;Identifier;17525 
5;348;1745;Identifier;17523 
5;360;1853;Identifier;17521 
5;362;1860;Identifier;17519 
5;368;1910;Identifier;17517 
5;369;1913;Identifier;17515 
6;0;0;original;18323 
6;1;0;ExpressionStatement;18293 
6;2;1;VariableDeclaration;18250 
6;3;0;VariableDeclaration;18246 
6;4;9;IfStatement;18151 
6;5;4;IfStatement;18116 
6;6;8;IfStatement;18064 
6;7;3;IfStatement;18030 
6;8;2;IfStatement;17998 
6;9;2;IfStatement;17972 
6;11;14;IfStatement;17922 
6;12;17;IfStatement;17864 
6;13;14;IfStatement;17814 
6;16;38;IfStatement;17780 
6;17;38;IfStatement;17746 
6;45;180;BinaryExpression;17712 
6;48;208;BinaryExpression;17686 
6;52;239;BinaryExpression;17658 
6;84;16;Identifier;17658 
6;85;16;Identifier;17658 
6;116;316;Identifier;17656 
6;121;350;Identifier;17654 
6;123;364;Identifier;17652 
6;126;387;Identifier;17650 
6;127;386;Identifier;17648 
6;136;465;Identifier;17646 
6;142;515;Identifier;17644 
6;143;515;Identifier;17642 
6;144;514;Identifier;17640 
6;149;550;Identifier;17638 
6;150;555;Identifier;17636 
6;165;698;Identifier;17634 
6;166;698;Identifier;17633 
6;167;699;Identifier;17631 
6;168;699;Identifier;17630 
6;176;762;Identifier;17628 
6;178;776;Identifier;17626 
6;181;790;Identifier;17624 
6;192;899;Identifier;17622 
6;193;894;Identifier;17620 
6;195;907;Identifier;17618 
6;196;902;Identifier;17616 
6;199;927;Identifier;17614 
6;200;928;Identifier;17612 
6;201;928;Identifier;17610 
6;207;977;Identifier;17608 
6;211;1008;Identifier;17606 
6;212;1004;Identifier;17604 
6;214;1012;Identifier;17602 
6;215;1016;Identifier;17600 
6;219;1048;Identifier;17598 
6;221;1059;Identifier;17596 
6;225;1086;Identifier;17594 
6;227;1095;Identifier;17592 
6;228;1091;Identifier;17590 
6;234;1142;Identifier;17588 
6;235;1141;Identifier;17586 
6;237;1153;Identifier;17584 
6;239;1160;Identifier;17582 
6;244;1201;Identifier;17579 
6;248;1233;Identifier;17577 
6;250;1241;Identifier;17575 
6;252;1256;Identifier;17573 
6;254;1261;Identifier;17571 
6;255;1266;Identifier;17569 
6;256;1269;Identifier;17567 
6;258;1274;Identifier;17565 
6;259;1270;Identifier;17563 
6;260;1274;Identifier;17561 
6;265;1311;Identifier;17559 
6;266;1315;Identifier;17557 
6;267;1312;Identifier;17555 
6;268;1311;Identifier;17553 
6;269;1311;Identifier;17551 
6;270;1311;Identifier;17549 
6;272;1329;Identifier;17547 
6;275;1347;Identifier;17545 
6;277;1355;Identifier;17544 
6;279;1364;Identifier;17542 
6;280;1363;Identifier;17540 
6;282;1378;Identifier;17538 
6;283;1379;Identifier;17536 
6;284;1378;Identifier;17534 
6;285;1378;Identifier;17532 
6;286;1378;Identifier;17530 
6;287;1378;Identifier;17528 
6;291;1401;Identifier;17526 
6;297;1456;Identifier;17524 
6;298;1456;Identifier;17522 
6;299;1450;Identifier;17520 
6;301;1461;Identifier;17518 
6;304;1487;Identifier;17516 
6;305;1485;Identifier;17514 
6;306;1487;Identifier;17512 
6;307;1486;Identifier;17510 
6;308;1485;Identifier;17508 
6;309;1484;Identifier;17506 
6;310;1484;Identifier;17504 
6;311;1482;Identifier;17502 
